city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
El Segundo,El Segundo,CA,California,06037,Los Angeles,6037,Los Angeles,33.9169,-118.4021,16853,1191,polygon,FALSE,TRUE,America/Los_Angeles,3,90245,1840107405
Mayflower Village,Mayflower Village,CA,California,06037,Los Angeles,6037,Los Angeles,34.1159,-118.0096,5828,3265,polygon,FALSE,FALSE,America/Los_Angeles,2,91016 91006,1840112225
Del Aire,Del Aire,CA,California,06037,Los Angeles,6037,Los Angeles,33.9168,-118.3693,10614,4049,polygon,FALSE,FALSE,America/Los_Angeles,2,90250,1840112654
South San Jose Hills,South San Jose Hills,CA,California,06037,Los Angeles,6037,Los Angeles,34.0123,-117.9041,20423,5229,polygon,FALSE,FALSE,America/Los_Angeles,2,91744 91792,1840112769
Hermosa Beach,Hermosa Beach,CA,California,06037,Los Angeles,6037,Los Angeles,33.8654,-118.3966,19708,5336,polygon,FALSE,TRUE,America/Los_Angeles,2,90254,1840105714
Cerritos,Cerritos,CA,California,06037,Los Angeles,6037,Los Angeles,33.8677,-118.0686,51020,2258,polygon,FALSE,TRUE,America/Los_Angeles,2,90703,1840010760
Artesia,Artesia,CA,California,06037,Los Angeles,6037,Los Angeles,33.8676,-118.0806,16904,4027,polygon,FALSE,TRUE,America/Los_Angeles,2,90701 90702,1840107264
Palmdale,Palmdale,CA,California,06037,Los Angeles,6037,Los Angeles,34.5944,-118.1057,157519,573,polygon,FALSE,TRUE,America/Los_Angeles,2,93552 93550 93591 93551 93590 93599,1840105744
Industry,Industry,CA,California,06037,Los Angeles,6037,Los Angeles,34.0175,-117.9268,204,6,polygon,FALSE,TRUE,America/Los_Angeles,3,91748 91789 91745 91746 91744 91714 91715,1840010786
Duarte,Duarte,CA,California,06037,Los Angeles,6037,Los Angeles,34.1609,-117.9504,21757,1253,polygon,FALSE,TRUE,America/Los_Angeles,3,91010 91009,1840105698
Monterey Park,Monterey Park,CA,California,06037,Los Angeles,6037,Los Angeles,34.0497,-118.1326,61044,3071,polygon,FALSE,TRUE,America/Los_Angeles,2,91755 91754 91756,1840105734
Downey,Downey,CA,California,06037,Los Angeles,6037,Los Angeles,33.9379,-118.1312,113092,3519,polygon,FALSE,TRUE,America/Los_Angeles,2,90242 90240 90241 90239,1840105697
Beverly Hills,Beverly Hills,CA,California,06037,Los Angeles,6037,Los Angeles,34.0786,-118.4021,34484,2332,polygon,FALSE,TRUE,America/Los_Angeles,2,90212 90211 90210 90209,1840105676
Valinda,Valinda,CA,California,06037,Los Angeles,6037,Los Angeles,34.04,-117.9301,25080,4807,polygon,FALSE,FALSE,America/Los_Angeles,2,91744,1840113335
Commerce,Commerce,CA,California,06037,Los Angeles,6037,Los Angeles,33.9963,-118.1519,12947,764,polygon,FALSE,TRUE,America/Los_Angeles,3,90040 90022 90023 90091,1840107365
Topanga,Topanga,CA,California,06037,Los Angeles,6037,Los Angeles,34.0964,-118.6053,7705,155,polygon,FALSE,FALSE,America/Los_Angeles,3,90290,1840114682
Hasley Canyon,Hasley Canyon,CA,California,06037,Los Angeles,6037,Los Angeles,34.4817,-118.6665,1068,71,polygon,FALSE,TRUE,America/Los_Angeles,3,91384,1840114552
Hawthorne,Hawthorne,CA,California,06037,Los Angeles,6037,Los Angeles,33.9146,-118.3476,87854,5576,polygon,FALSE,TRUE,America/Los_Angeles,2,90250 90251 90310,1840105712
San Pasqual,San Pasqual,CA,California,06037,Los Angeles,6037,Los Angeles,34.1392,-118.1025,1966,2975,polygon,FALSE,TRUE,America/Los_Angeles,2,91107,1840107771
La Habra Heights,La Habra Heights,CA,California,06037,Los Angeles,6037,Los Angeles,33.9603,-117.9509,5403,338,polygon,FALSE,TRUE,America/Los_Angeles,3,90631,1840107537
Lakewood,Lakewood,CA,California,06037,Los Angeles,6037,Los Angeles,33.8471,-118.1221,80967,3321,polygon,FALSE,TRUE,America/Los_Angeles,2,90715 90712 90713 90711 90714,1840107550
Lynwood,Lynwood,CA,California,06037,Los Angeles,6037,Los Angeles,33.924,-118.2017,71099,5671,polygon,FALSE,TRUE,America/Los_Angeles,2,90262,1840107582
Norwalk,Norwalk,CA,California,06037,Los Angeles,6037,Los Angeles,33.9069,-118.0829,106084,4218,polygon,FALSE,TRUE,America/Los_Angeles,2,90650 90651 90652,1840107651
Huntington Park,Huntington Park,CA,California,06037,Los Angeles,6037,Los Angeles,33.98,-118.2167,58822,7538,polygon,FALSE,TRUE,America/Los_Angeles,2,90255,1840107495
Long Beach,Long Beach,CA,California,06037,Los Angeles,6037,Los Angeles,33.798,-118.1675,469450,3575,polygon,FALSE,TRUE,America/Los_Angeles,2,90822 90804 90805 90806 90807 90802 90803 90808 90831 90814 90813 90810 90815 90801 90832 90833 90834 90835 90840 90842 90844 90846 90847 90848 90853 90899,1840105730
